id,name,release,boxoffice,percent
AUS,Australia,12/17/2015,67326713,0.033
AUT,Austria,12/17/2015,9379428,0.005
BEL,Belgium,12/16/2015,11033696,0.005
BOL,Bolivia,12/17/2015,1868562,0.001
BRA,Brazil,12/17/2015,27811701,0.014
BGR,Bulgaria,12/18/2015,2347203,0.001
CHL,Chile,12/17/2015,8463006,0.004
CHN,China,1/9/2016,124159138,0.062
COL,Colombia,12/17/2015,4766204,0.002
HRV,Croatia,12/17/2015,1245788,0.001
CZE,Czech Republic,12/17/2015,3879858,0.002
DNK,Denmark,12/16/2015,11987128,0.006
ECU,Ecuador,12/18/2015,3211683,0.002
EGY,Egypt,12/16/2015,153648,0
FIN,Finland,12/16/2015,7879000,0.004
FRA,France,12/16/2015,88527046,0.044
DEU,Germany,12/17/2015,111351219,0.055
GRC,Greece,12/24/2015,3406287,0.002
HKG,Hong Kong,12/17/2015,11082181,0.005
HUN,Hungary,12/18/2015,6515981,0.003
ISL,Iceland,12/17/2015,905627,0
IND,India,12/25/2015,4517344,0.002
ISR,Israel,12/17/2015,3385097,0.002
ITA,Italy,12/16/2015,28214141,0.014
JPN,Japan,12/18/2015,97862640,0.049
KEN,Kenya,12/18/2015,285657,0
LVA,Latvia,12/18/2015,424911,0
LBN,Lebanon,12/17/2015,606176,0
LTU,Lithuania,12/18/2015,563605,0
MYS,Malaysia,12/17/2015,6628971,0.003
MEX,Mexico,12/17/2015,27191173,0.013
NLD,Netherlands,12/16/2015,15659687,0.008
NZL,New Zealand,12/17/2015,9859928,0.005
NOR,Norway,12/16/2015,8875245,0.004
OMN,Oman,12/17/2015,49689,0
PER,Peru,12/17/2015,6127657,0.003
PHL,Philippines,12/16/2015,8176268,0.004
POL,Poland,12/18/2015,16685439,0.008
PRT,Portugal,12/17/2015,3901908,0.002
ROU,Romania,12/18/2015,3405655,0.002
RUS,Russian Federation,12/17/2015,25952440,0.013
SRB,Serbia,12/17/2015,711089,0
SGP,Singapore,12/17/2015,7153662,0.004
SVK,Slovakia,12/17/2015,1136741,0.001
SVN,Slovenia,12/17/2015,578788,0
ZAF,South Africa,12/18/2015,3206747,0.002
KOR,Korea,12/17/2015,24142352,0.012
ESP,Spain,12/18/2015,36296516,0.018
SWE,Sweden,12/16/2015,21346653,0.011
CHE,Switzerland,12/18/2015,12159927,0.006
TWN,Taiwan,12/17/2015,6464714,0.003
THA,Thailand,12/17/2015,5946413,0.003
TUR,Turkey,12/17/2015,5820667,0.003
UKR,Ukraine,12/17/2015,2509424,0.001
ARE,United Arab Emirates,12/17/2015,6052663,0.003
GBR,United Kingdom,12/17/2015,163599922,0.081
URY,Uruguay,12/17/2015,468960,0
VEN,Venezuela,12/18/2015,5354283,0.003
VNM,Vietnam,12/18/2015,895542,0
USA,United States,12/18/2015,936662225,0.465
